"year","month","x_hk","container_hk","transit_pa_canal","transit_suez_canal","air_freight_mem","container_exports_la","container_total_la","x_servs_world","tourists_neasia","tourists_seasia","tourists_world","x_servs_in"
2002,1,106563,1425,1049,NA,NA,187427.2,408236.45,NA,NA,NA,NA,NA
2002,2,95281,1148,941,NA,NA,190840.95,435007.7,NA,NA,NA,NA,NA
2002,3,124033,1496,1113,NA,NA,206612,436565.7,NA,NA,NA,NA,NA
2002,4,123118,1604,1077,NA,NA,216926.5,484299.25,NA,NA,NA,NA,NA
2002,5,125873,1539,1033,NA,NA,246829.7,531214.2,NA,NA,NA,NA,NA
2002,6,124875,1612,960,NA,NA,235014.55,536461.5,NA,NA,NA,NA,NA
2002,7,146415,1711,964,NA,NA,223758.35,495690.45,NA,NA,NA,NA,NA
2002,8,141221,1715,953,NA,NA,265804.55,605493.8,NA,NA,NA,NA,NA
2002,9,148033,1827,891,NA,NA,258275.7,589242.15,NA,NA,NA,NA,NA
2002,10,150530,1694,917,NA,NA,205753.25,470970.6,NA,NA,NA,NA,NA
2002,11,141031,1648,926,NA,NA,244647.4,545979.5,NA,NA,NA,NA,NA
2002,12,135324,1727,1045,NA,NA,260603.3,566701.85,NA,NA,NA,NA,NA
2003,1,135028,1709,1045,NA,NA,242056.85,518538.4,NA,NA,NA,NA,NA
2003,2,105148,1261,957,NA,NA,266399.3,541138.8,NA,NA,NA,NA,NA
2003,3,143087,1724,1085,NA,NA,265076.25,563571.25,NA,NA,NA,NA,NA
2003,4,134146,1769,1032,NA,NA,262326.75,589034.8,NA,NA,NA,NA,NA
2003,5,143022,1661,1011,NA,NA,303631.2,651906.25,NA,NA,NA,NA,NA
2003,6,142343,1660,950,NA,NA,257894.35,563786.2,NA,NA,NA,NA,NA
2003,7,157574,1686,955,NA,NA,283974,615714.3,NA,NA,NA,NA,NA
2003,8,151171,1791,939,NA,NA,290924.3,650969.4,NA,NA,NA,NA,NA
2003,9,157518,1814,860,NA,NA,272253.6,622729.2,NA,NA,NA,NA,NA
2003,10,164753,1773,958,NA,NA,298995.8,671106.85,NA,NA,NA,NA,NA
2003,11,153774,1755,996,NA,NA,289408.85,627787.05,NA,NA,NA,NA,NA
2003,12,156713,1847,1053,NA,NA,255674.15,562657.6,NA,NA,NA,NA,NA
2004,1,135312,1723,1092,NA,NA,270675.4,616086.95,NA,NA,NA,NA,NA
2004,2,134794,1541,1065,NA,NA,234664.4,482373.7,NA,NA,NA,NA,NA
2004,3,162918,1939,1180,NA,NA,270868.35,611616.35,NA,NA,NA,NA,NA
2004,4,159979,1744,1136,NA,NA,271558.9,616897.05,NA,NA,NA,NA,NA
2004,5,165431,1833,1113,NA,NA,293711.15,660839.15,NA,NA,NA,NA,NA
2004,6,168272,1826,1068,NA,NA,265025.05,612080.8,NA,NA,NA,NA,NA
2004,7,183626,1863,1022,NA,NA,310499.15,676399.45,NA,NA,NA,NA,NA
2004,8,182745,1998,1020,NA,NA,283280.2,627388.8,NA,NA,NA,NA,NA
2004,9,179664,1923,967,NA,NA,268435.1,592780.8,NA,NA,NA,NA,NA
2004,10,191232,1938,1050,NA,NA,290218.05,642935.9,NA,NA,NA,NA,NA
2004,11,179659,1901,1021,NA,NA,290342.45,630392.85,NA,NA,NA,NA,NA
2004,12,176923,1756,1053,NA,NA,268381.1,551648.3,NA,NA,NA,NA,NA
2005,1,182448,1896,1095,NA,NA,285076.2,590178.4,NA,NA,NA,NA,NA
2005,2,127527,1428,1012,NA,NA,260442.6,554465.05,NA,NA,NA,NA,NA
2005,3,168681,1809,1220,NA,NA,262846.35,525019.4,494091.905779687,NA,NA,NA,NA
2005,4,172489,1838,1174,NA,NA,300885.85,636972.75,NA,NA,NA,NA,NA
2005,5,193374,1797,1132,NA,NA,291151.5,610623.9,NA,NA,NA,NA,NA
2005,6,189479,1941,1030,NA,NA,293466.5,634048.45,519384.236160528,NA,NA,NA,NA
2005,7,198436,2001,1020,NA,NA,291663.7,648379.65,NA,NA,NA,NA,NA
2005,8,205937,1927,1061,NA,NA,301899.95,651554.45,NA,NA,NA,NA,NA
2005,9,210165,2083,939,NA,NA,306582.85,663495.25,564696.587794106,NA,NA,NA,NA
2005,10,213504,2040,982,NA,NA,332689.25,707740.1,NA,NA,NA,NA,NA
2005,11,200351,1937,995,NA,NA,308821.4,640857.95,NA,NA,NA,NA,NA
2005,12,188771,1903,1066,NA,NA,293045,621289.1,539356.256189179,NA,NA,NA,NA
2006,1,190020,1880,1138,NA,618666231,293266.25,620275.35,NA,NA,NA,NA,NA
2006,2,153618,1444,1040,NA,611582658,229003.1,480814.95,NA,NA,NA,NA,NA
