date,country,value
2006-01-01,Singapore,20388.4149167228
2006-02-01,Singapore,23468.6111381032
2006-03-01,Singapore,22640.5127199699
2006-04-01,Singapore,20976.959847116002
2006-05-01,Singapore,23241.5079768485
2006-06-01,Singapore,23407.1480371306
2006-07-01,Singapore,21172.5480131051
2006-08-01,Singapore,23792.8776382255
2006-09-01,Singapore,23987.4202719562
2006-10-01,Singapore,22440.114105967998
2006-11-01,Singapore,23678.4376500677
2006-12-01,Singapore,24166.136136841298
2007-01-01,Singapore,24882.6397021168
2007-02-01,Singapore,23409.0346300307
2007-03-01,Singapore,24683.350814295
2007-04-01,Singapore,23948.560709004
2007-05-01,Singapore,24381.894085231
2007-06-01,Singapore,24547.256339558302
2007-07-01,Singapore,24457.7732898232
2007-08-01,Singapore,25233.6434580316
2007-09-01,Singapore,25371.844375048702
2007-10-01,Singapore,26991.777627339303
2007-11-01,Singapore,26764.539321487402
2007-12-01,Singapore,26929.311257382204
2008-01-01,Singapore,30119.4194731944
2008-02-01,Singapore,29195.3737313428
2008-03-01,Singapore,28525.5709098559
2008-04-01,Singapore,30944.138287538502
2008-05-01,Singapore,30476.599797255
2008-06-01,Singapore,30665.4626842106
2008-07-01,Singapore,31965.888246365
2008-08-01,Singapore,29735.2381364089
2008-09-01,Singapore,30058.9399212079
2008-10-01,Singapore,25609.7783154392
2008-11-01,Singapore,22818.914257818302
2008-12-01,Singapore,21013.725244217
2009-01-01,Singapore,17985.271647332098
2009-02-01,Singapore,21747.0170362826
2009-03-01,Singapore,20051.2753860892
2009-04-01,Singapore,20453.560626874598
2009-05-01,Singapore,21089.6847538489
2009-06-01,Singapore,21803.0924929438
2009-07-01,Singapore,23192.6049445355
2009-08-01,Singapore,23087.403799533702
2009-09-01,Singapore,24227.461089584103
2009-10-01,Singapore,24333.7050761402
2009-11-01,Singapore,25976.889152660402
2009-12-01,Singapore,27234.7385183161
2010-01-01,Singapore,26114.967950275
2010-02-01,Singapore,26971.5544040825
2010-03-01,Singapore,28557.4789985588
2010-04-01,Singapore,28820.6176506581
2010-05-01,Singapore,28047.5370441824
2010-06-01,Singapore,29124.122953859198
2010-07-01,Singapore,29002.388215439398
2010-08-01,Singapore,31145.394685814
2010-09-01,Singapore,30642.3324644548
2010-10-01,Singapore,31120.2670090975
2010-11-01,Singapore,31151.3856754037
2010-12-01,Singapore,32650.6366848519
2011-01-01,Singapore,34021.0723210938
2011-02-01,Singapore,32626.411401827598
2011-03-01,Singapore,36051.309791956
2011-04-01,Singapore,33419.7801710099
2011-05-01,Singapore,34482.620679011095
2011-06-01,Singapore,35467.877333657
2011-07-01,Singapore,34445.2425663471
2011-08-01,Singapore,36918.7934555543
2011-09-01,Singapore,35717.3384494935
2011-10-01,Singapore,33033.323034912595
2011-11-01,Singapore,34245.422241798304
2011-12-01,Singapore,35964.9639351125
2012-01-01,Singapore,32652.5783747338
2012-02-01,Singapore,40163.7593043625
2012-03-01,Singapore,35882.7891823361
2012-04-01,Singapore,34826.8978498673
2012-05-01,Singapore,35108.0723581228
2012-06-01,Singapore,33947.0378151709
2012-07-01,Singapore,33203.912658876405
2012-08-01,Singapore,33307.334291823
2012-09-01,Singapore,33340.6000003432
2012-10-01,Singapore,34262.3574438153
2012-11-01,Singapore,35574.8656618409
2012-12-01,Singapore,33366.7032852879
2013-01-01,Singapore,34320.8085583078
2013-02-01,Singapore,34031.2779543681
2013-03-01,Singapore,33133.1613397437
2013-04-01,Singapore,35778.0823054579
2013-05-01,Singapore,36372.020491210096
2013-06-01,Singapore,34398.572064127904
2013-07-01,Singapore,36097.3516957294
2013-08-01,Singapore,34412.1782730611
2013-09-01,Singapore,35093.150462667
2013-10-01,Singapore,36305.3456990813
2013-11-01,Singapore,35298.7705098842
2013-12-01,Singapore,34603.2930075387
2014-01-01,Singapore,35782.0343822532
2014-02-01,Singapore,36031.2901461733
2014-03-01,Singapore,34900.5095328467
2014-04-01,Singapore,35698.0819874464
2014-05-01,Singapore,34658.0064596289
2014-06-01,Singapore,34718.8414118579
2014-07-01,Singapore,34512.0562757042
2014-08-01,Singapore,34833.3768697256
2014-09-01,Singapore,35322.7178092103
2014-10-01,Singapore,33214.9942860303
2014-11-01,Singapore,32761.6747815165
2014-12-01,Singapore,32730.3219350112
2015-01-01,Singapore,32470.7003045079
2015-02-01,Singapore,28451.7539438648
2015-03-01,Singapore,31676.1700604992
2015-04-01,Singapore,30146.260108182003
2015-05-01,Singapore,29132.6099636781
2015-06-01,Singapore,30345.9924038908
2015-07-01,Singapore,30260.584957662402
2015-08-01,Singapore,27172.974541195497
2015-09-01,Singapore,28270.083689099
2015-10-01,Singapore,28646.724970121202
2015-11-01,Singapore,27081.1904775019
2015-12-01,Singapore,27696.461397149502
2016-01-01,Singapore,25576.1766588188
2016-02-01,Singapore,26328.8675642044
2016-03-01,Singapore,26680.141737910602
2016-04-01,Singapore,27508.822860993198
2016-05-01,Singapore,27346.8663064175
2016-06-01,Singapore,28691.7950194175
2016-07-01,Singapore,27045.750331888903
2016-08-01,Singapore,28086.4462087082
2016-09-01,Singapore,29102.076894499303
2016-10-01,Singapore,25992.7353286635
2016-11-01,Singapore,28452.2416635631
2016-12-01,Singapore,29378.2069711517
2017-01-01,Singapore,29198.113145714
2017-02-01,Singapore,31342.8792761905
2017-03-01,Singapore,31869.6009238882
2017-04-01,Singapore,28658.0426880152
2017-05-01,Singapore,30577.3169729104
2017-06-01,Singapore,30865.2941366526
2017-07-01,Singapore,30876.3580939984
2017-08-01,Singapore,32044.9096554133
2017-09-01,Singapore,30913.791126046002
2017-10-01,Singapore,30469.872672252
2017-11-01,Singapore,33387.640435047004
2017-12-01,Singapore,33017.4845205356
2018-01-01,Singapore,34211.211673814905
2018-02-01,Singapore,32782.486338228904
2018-03-01,Singapore,33946.1036005811
2018-04-01,Singapore,33884.2657822682
2018-05-01,Singapore,35448.8520177137
2018-06-01,Singapore,34481.6551276634
2018-07-01,Singapore,35284.4953138318
2018-08-01,Singapore,36080.5168175415
2018-09-01,Singapore,34077.646425289
2018-10-01,Singapore,36482.3357312828
2018-11-01,Singapore,34631.138465309305
2018-12-01,Singapore,31478.9276750992
2019-01-01,Singapore,33507.2039589892
2019-02-01,Singapore,32645.7810065057
2019-03-01,Singapore,32094.9959212504
2019-04-01,Singapore,32921.138495202
2019-05-01,Singapore,33298.276107629
2019-06-01,Singapore,31216.716691051402
2019-07-01,Singapore,33068.3803807102
2019-08-01,Singapore,31748.3373936779
2019-09-01,Singapore,32226.5453826077
2019-10-01,Singapore,32467.9113737833
2019-11-01,Singapore,32570.4602576543
2019-12-01,Singapore,32919.8758328328
2020-01-01,Singapore,31665.227181991602
2020-02-01,Singapore,32538.2862677075
2020-03-01,Singapore,30618.4519061629
2020-04-01,Singapore,27524.3403270581
2006-01-01,"Hong Kong, China",26201.298769138302
2006-02-01,"Hong Kong, China",26241.4248921518
2006-03-01,"Hong Kong, China",26983.9018744987
2006-04-01,"Hong Kong, China",25259.7603280916
2006-05-01,"Hong Kong, China",25871.540195089103
2006-06-01,"Hong Kong, China",26209.3851988706
2006-07-01,"Hong Kong, China",27394.6822937202
2006-08-01,"Hong Kong, China",27741.9160694573
2006-09-01,"Hong Kong, China",27142.5797952705
2006-10-01,"Hong Kong, China",27081.0812031095
2006-11-01,"Hong Kong, China",27936.755834942596
2006-12-01,"Hong Kong, China",28190.722780990498
2007-01-01,"Hong Kong, China",28167.3619879427
2007-02-01,"Hong Kong, China",28595.9131668381
2007-03-01,"Hong Kong, China",28345.875329861898
2007-04-01,"Hong Kong, China",28394.9697767545
2007-05-01,"Hong Kong, China",28194.4650699436
2007-06-01,"Hong Kong, China",28337.638291014904
2007-07-01,"Hong Kong, China",29158.4243994721
2007-08-01,"Hong Kong, China",29501.9772989285
2007-09-01,"Hong Kong, China",29102.2001375882
2007-10-01,"Hong Kong, China",30482.3826588085
2007-11-01,"Hong Kong, China",30261.3931098386
2007-12-01,"Hong Kong, China",30769.4180914337
2008-01-01,"Hong Kong, China",33033.1224521568
2008-02-01,"Hong Kong, China",31515.6991126982
2008-03-01,"Hong Kong, China",31128.1295115761
2008-04-01,"Hong Kong, China",32456.523738969703
2008-05-01,"Hong Kong, China",31162.2908373046
