date,me,mi,se,si
2006-01-01,1097339,NA,NA,NA
2006-02-01,1100393,NA,NA,NA
2006-03-01,1304220,NA,NA,NA
2006-04-01,1173785,NA,NA,NA
2006-05-01,1294082,NA,NA,NA
2006-06-01,1315347,NA,NA,NA
2006-07-01,1241167,NA,NA,NA
2006-08-01,1227224,NA,NA,NA
2006-09-01,1338248,NA,NA,NA
2006-10-01,1362546,NA,NA,NA
2006-11-01,1399695,NA,NA,NA
2006-12-01,1320721,NA,NA,NA
2007-01-01,1295834,NA,NA,NA
2007-02-01,1287467,NA,NA,NA
2007-03-01,1483674,NA,NA,NA
2007-04-01,1386735,NA,NA,NA
2007-05-01,1451265,NA,NA,NA
2007-06-01,1486149,NA,NA,NA
2007-07-01,1487279,NA,NA,NA
2007-08-01,1412370,NA,NA,NA
2007-09-01,1510237,NA,NA,NA
2007-10-01,1671927,NA,NA,NA
2007-11-01,1688365,NA,NA,NA
2007-12-01,1504456,NA,NA,NA
2008-01-01,1610659,NA,NA,NA
2008-02-01,1618650,NA,NA,NA
2008-03-01,1738848,NA,NA,NA
2008-04-01,1839519,NA,NA,NA
2008-05-01,1767189,NA,NA,NA
2008-06-01,1826572,NA,NA,NA
2008-07-01,1905949,NA,NA,NA
2008-08-01,1612552,NA,NA,NA
2008-09-01,1752555,NA,NA,NA
2008-10-01,1653927,NA,NA,NA
2008-11-01,1373035,NA,NA,NA
2008-12-01,1280897,NA,NA,NA
2009-01-01,1120721,NA,NA,NA
2009-02-01,1103131,NA,NA,NA
2009-03-01,1251248,NA,NA,NA
2009-04-01,1189812,NA,NA,NA
2009-05-01,1197042,NA,NA,NA
2009-06-01,1317411,NA,NA,NA
2009-07-01,1367115,NA,NA,NA
2009-08-01,1215455,NA,NA,NA
2009-09-01,1447917,NA,NA,NA
2009-10-01,1506817,NA,NA,NA
2009-11-01,1476488,NA,NA,NA
2009-12-01,1457984,NA,NA,NA
2010-01-01,1333667,NA,NA,NA
2010-02-01,1350574,NA,NA,NA
2010-03-01,1605056,NA,NA,NA
2010-04-01,1497953,NA,NA,NA
2010-05-01,1467417,NA,NA,NA
2010-06-01,1558787,NA,NA,NA
2010-07-01,1559622,NA,NA,NA
2010-08-01,1459331,NA,NA,NA
2010-09-01,1636046,NA,NA,NA
2010-10-01,1714423,NA,NA,NA
2010-11-01,1728240,NA,NA,NA
2010-12-01,1679062,NA,NA,NA
2011-01-01,1611163,NA,NA,NA
2011-02-01,1626832,NA,NA,NA
