code,name,country,frequency,units,start_date,source,cumulative,sa,transformation,download_group
x_cn.sa,"Merchandise exports, China (OECD)",cn,m,,1/1/2002,OECD,n,y,growthr,1
x_us.sa,"Merchandise exports, United States",us,m,,1/1/2002,OECD,n,y,growthr,1
x_de.sa,"Merchandise exports, Germany",de,m,,1/1/2002,OECD,n,y,growthr,1
x_jp.sa,"Merchandise exports, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,1
x_nl.sa,"Merchandise exports, Netherlands",nl,m,,1/1/2002,OECD,n,y,growthr,1
x_kr.sa,"Merchandise exports, South Korea",kr,m,,1/1/2002,OECD,n,y,growthr,1
x_fr.sa,"Merchandise exports, France",fr,m,,1/1/2002,OECD,n,y,growthr,1
x_it.sa,"Merchandise exports, Italy",it,m,,1/1/2002,OECD,n,y,growthr,1
x_uk.sa,"Merchandise exports, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,1
x_in.sa,"Merchandise exports, India",in,m,,1/1/2002,OECD,n,y,growthr,1
x_oecd.sa,"Merchandise exports, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,1
x_briics.sa,"Merchandise exports, BRIICS",briics,m,,1/1/2002,OECD,n,y,growthr,1
ipi_us.sa,"Industrial production index, United States",us,m,,1/1/2002,OECD,n,y,growthr,2
ipi_jp.sa,"Industrial production index, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,2
ipi_de.sa,"Industrial production index, Germany",de,m,,1/1/2002,OECD,n,y,growthr,2
ipi_kr.sa,"Industrial production index, South Korea",kr,m,,1/1/2002,OECD,n,y,growthr,2
ipi_it.sa,"Industrial production index, Italy",it,m,,1/1/2002,OECD,n,y,growthr,2
ipi_fr.sa,"Industrial production index, France",fr,m,,1/1/2002,OECD,n,y,growthr,2
ipi_uk.sa,"Industrial production index, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,2
ipi_mx.sa,"Industrial production index, Mexico",mx,m,,1/1/2002,OECD,n,y,growthr,2
ipi_oecd.sa,"Industrial production index, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,2
rti_val_us.sa,"Retail trade index, values, United States",us,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_jp.sa,"Retail trade index, values, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_de.sa,"Retail trade index, values, Germany",de,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_uk.sa,"Retail trade index, values, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_fr.sa,"Retail trade index, values, France",fr,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_it.sa,"Retail trade index, values, Italy",it,m,,1/1/2002,OECD,n,y,growthr,3
rti_val_ca.sa,"Retail trade index, values, Canada",ca,m,,1/1/2002,OECD,n,y,growthr,3
rti_vol_us.sa,"Retail trade index, volumes, United States",us,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_jp.sa,"Retail trade index, volumes, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_de.sa,"Retail trade index, volumes, Germany",de,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_uk.sa,"Retail trade index, volumes, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_fr.sa,"Retail trade index, volumes, France",fr,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_it.sa,"Retail trade index, volumes, Italy",it,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_br.sa,"Retail trade index, volumes, Brazil",br,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_ca.sa,"Retail trade index, volumes, Canada",ca,m,,1/1/2002,OECD,n,y,growthr,4
rti_vol_oecd.sa,"Retail trade index, volumes, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,4
constr_us.sa,"Construction index, United States",us,m,,1/1/2002,OECD,n,y,growthr,5
constr_oecd.sa,"Construction index, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,5
x_servs_oecd.sa,"Exports of services, OECD",oecd,q,,3/1/2005,OECD,n,y,growthr,6
fdi_world,"FDI financial flows, inwards, world",world,q,,3/1/2013,OECD,n,n,growthr,7
fdi_oecd,"FDI financial flows, inwards, OECD",oecd,q,,3/1/2013,OECD,n,n,growthr,7
cci_us.sa,"Consumer confidence index, United States",us,m,,1/1/2002,OECD,n,y,growthr,8
cci_cn.sa,"Consumer confidence index, China",cn,m,,1/1/2002,OECD,n,y,growthr,8
cci_de.sa,"Consumer confidence index, Germany",de,m,,1/1/2002,OECD,n,y,growthr,8
cci_jp.sa,"Consumer confidence index, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,8
cci_uk.sa,"Consumer confidence index, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,8
cci_oecd.sa,"Consumer confidence index, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,8
bci_us.sa,"Business confidence index, United States",us,m,,1/1/2002,OECD,n,y,growthr,9
bci_cn.sa,"Business confidence index, China",cn,m,,1/1/2002,OECD,n,y,growthr,9
bci_de.sa,"Business confidence index, Germany",de,m,,1/1/2002,OECD,n,y,growthr,9
bci_jp.sa,"Business confidence index, Japan",jp,m,,1/1/2002,OECD,n,y,growthr,9
bci_uk.sa,"Business confidence index, United Kingdom",uk,m,,1/1/2002,OECD,n,y,growthr,9
bci_nl.sa,"Business confidence index, Netherlands",nl,m,,1/1/2002,OECD,n,y,growthr,9
bci_oecd.sa,"Business confidence index, OECD",oecd,m,,1/1/2002,OECD,n,y,growthr,9
manuf_orders_us.sa,"Manufacturing order books, United States",us,m,,1/1/2002,OECD,n,y,50_chg,10
