"code","download_group","status"
"x_cn.sa","1","Took 0.08 minutes for 2020-04-01"
"x_us.sa","1","Took 0.08 minutes for 2020-04-01"
"x_de.sa","1","Took 0.08 minutes for 2020-04-01"
"x_jp.sa","1","Took 0.08 minutes for 2020-04-01"
"x_nl.sa","1","Took 0.08 minutes for 2020-04-01"
"x_kr.sa","1","Took 0.08 minutes for 2020-04-01"
"x_fr.sa","1","Took 0.08 minutes for 2020-04-01"
"x_it.sa","1","Took 0.08 minutes for 2020-04-01"
"x_uk.sa","1","Took 0.08 minutes for 2020-04-01"
"x_in.sa","1","Took 0.08 minutes for 2020-04-01"
"x_oecd.sa","1","Took 0.08 minutes for 2020-04-01"
"x_briics.sa","1","Took 0.08 minutes for 2020-04-01"
"ipi_us.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_jp.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_de.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_kr.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_it.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_fr.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_uk.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_mx.sa","2","Took 0.04 minutes for 2020-04-01"
"ipi_oecd.sa","2","Took 0.04 minutes for 2020-04-01"
"rti_val_us.sa","3","Not run"
"rti_val_jp.sa","3","Not run"
"rti_val_de.sa","3","Not run"
"rti_val_uk.sa","3","Not run"
"rti_val_fr.sa","3","Not run"
"rti_val_it.sa","3","Not run"
"rti_val_ca.sa","3","Not run"
"rti_vol_us.sa","4","Not run"
"rti_vol_jp.sa","4","Not run"
"rti_vol_de.sa","4","Not run"
"rti_vol_uk.sa","4","Not run"
"rti_vol_fr.sa","4","Not run"
"rti_vol_it.sa","4","Not run"
"rti_vol_br.sa","4","Not run"
"rti_vol_ca.sa","4","Not run"
"rti_vol_oecd.sa","4","Not run"
"constr_us.sa","5","Not run"
"constr_oecd.sa","5","Not run"
"x_servs_oecd.sa","6","Not run"
"fdi_world","7","Not run"
"fdi_oecd","7","Not run"
"cci_us.sa","8","Not run"
"cci_cn.sa","8","Not run"
"cci_de.sa","8","Not run"
"cci_jp.sa","8","Not run"
"cci_uk.sa","8","Not run"
"cci_oecd.sa","8","Not run"
"bci_us.sa","9","Not run"
"bci_cn.sa","9","Not run"
"bci_de.sa","9","Not run"
"bci_jp.sa","9","Not run"
"bci_uk.sa","9","Not run"
"bci_nl.sa","9","Not run"
"bci_oecd.sa","9","Not run"
"manuf_orders_us.sa","10","Not run"
"manuf_orders_de.sa","10","Not run"
"manuf_orders_uk.sa","10","Not run"
"manuf_orders_nl.sa","10","Not run"
"x_servs_de","11","Not run"
"x_servs_fr","11","Not run"
"x_servs_ie","12","Not run"
"x_servs_nl","12","Not run"
"x_servs_uk","12","Not run"
"mar_freight_de","13","Not run"
"mar_freight_nl","13","Not run"
"ipi_eu27.sa","14","Not run"
"is_fr.sa","15","Not run"
"tourists_de","16","Not run"
"tourists_es","16","Not run"
"tourists_fr","16","Not run"
"tourists_it","16","Not run"
"tourists_uk","16","Not run"
"x_servs_us.sa","17","Not run"
"manuf_orders_us_2.sa","18","Not run"
"x_servs_cn","19","Not run"
"x_servs_sg","19","Not run"
"x_cn_2","20","Not run"
"constr_cn","21","Not run"
"freight_mar_cn","22","Not run"
"freight_mar_cn","22b","Not run"
"ipi_cn","23","Not run"
"rti_cn","24","Not run"
"pmi_manuf_cn.sa","25","Not run"
"export_orders_cn.sa","26","Not run"
"pmi_nm_cn2.sa","27","Not run"
"x_hk","28","Not run"
"x_servs_jp","29","Not run"
"ind_orders_ez.sa","30","Not run"
"p_manuf","31","Not run"
"x_world","32","Not run"
"x_vol_world.sa","33","Not run"
"x_vol_us.sa","33","Not run"
"x_vol_jp.sa","33","Not run"
"x_vol_ez.sa","33","Not run"
"x_vol_cn.sa","33","Not run"
"x_vol_ema.sa","33","Not run"
"x_vol_cis.sa","33","Not run"
"x_vol_lac.sa","33","Not run"
"x_vol_afr.sa","33","Not run"
"x_uv_world.sa","33","Not run"
"tourists_mx","34","Not run"
"bci_servs_eu.sa","35","Not run"
"container_index.sa","36","Not run"
"is_jp.sa","37","Not run"
"is_uk.sa","38","Not run"
"is_br.sa","39","Not run"
"tourists_tk","40","Not run"
"container_sg","41","Not run"
"air_freight_total_lhr","42","Not run"
"air_freight_intl_lhr","42","Not run"
"air_freight_hkg","43","Not run"
"p_comm","44","Not run"
"x_vol_world2","45","Not run"
"x_servs_uk2.sa","46","Not run"
"fdi_cn","46","Not run"
"fdi_in","46","Not run"
"baltic","46","Not run"
"harpex","46","Not run"
"pmi_manuf_us.sa","46","Not run"
"pmi_nm_us.sa","46","Not run"
"pmi_nm_cn.sa","46","Not run"
"tourists_th","46","Not run"
"tourists_us","47","Not run"
"tourists_neasia","47","Not run"
"tourists_seasia","47","Not run"
"tourists_world","47","Not run"
"container_hk","48","Not run"
"transit_pa_canal","49","Not run"
"transit_suez_canal","50","Not run"
"air_freight_mem","51","Not run"
"container_exports_la","52","Not run"
"container_total_la","52","Not run"
"x_servs_world","53","Not run"
